Price,LastUpdated
62.4975,3/18/25 12:40
62.4038,3/18/25 12:45
62.3544,3/18/25 12:50
62.3149,3/18/25 12:55
62.3347,3/18/25 13:00
62.3149,3/18/25 13:05
62.3291,3/18/25 13:10
62.2754,3/18/25 13:15
62.4038,3/18/25 13:20
62.2853,3/18/25 13:25
62.3712,3/18/25 13:30
62.4026,3/18/25 13:35
62.3358,3/18/25 13:40
62.3939,3/18/25 13:45
62.4531,3/18/25 13:50
62.4364,3/18/25 13:55
62.4136,3/18/25 14:00
62.4827,3/18/25 14:05
62.3643,3/18/25 14:10
62.3939,3/18/25 14:15
62.4136,3/18/25 14:20
62.3742,3/18/25 14:25
62.384,3/18/25 14:30
62.4235,3/18/25 14:35
62.4038,3/18/25 14:40
62.4334,3/18/25 14:45
62.4432,3/18/25 14:50
62.4284,3/18/25 14:55
62.4136,3/18/25 15:00
62.463,3/18/25 15:05
62.4432,3/18/25 15:10
62.4537,3/18/25 15:15
62.4827,3/18/25 15:20
62.4531,3/18/25 15:25
62.5074,3/18/25 15:30
62.5074,3/18/25 15:35
62.4827,3/18/25 15:40
62.4827,3/18/25 15:45
62.5173,3/18/25 15:50
62.542,3/18/25 15:55
62.5123,3/18/25 16:00
62.7295,3/18/25 16:05
62.5123,3/18/25 16:10
62.1866,3/18/25 17:00
62.384,3/18/25 17:20
62.694,3/18/25 18:00
62.6111,3/18/25 18:05
62.5123,3/18/25 18:15
62.6209,3/18/25 18:25
62.5123,3/18/25 18:30
62.694,3/18/25 18:50
62.5123,3/18/25 19:00
61.8214,3/18/25 19:15
62.7196,3/18/25 19:20
62.7196,3/18/25 19:50
62.463,3/19/25 4:00
62.6308,3/19/25 4:35
62.6407,3/19/25 4:40
62.6703,3/19/25 4:45
62.6802,3/19/25 4:50
62.6802,3/19/25 5:00
62.6111,3/19/25 5:05
62.5814,3/19/25 6:50
62.5321,3/19/25 7:15
62.5025,3/19/25 7:20
62.6012,3/19/25 7:35
62.6802,3/19/25 7:40
62.6111,3/19/25 7:45
62.6407,3/19/25 7:55
